rank,route_number,route_name,ridership,route_id,trips,riders per trip,route_type,max_capacity,perc_of_cap
1,504,King,64579,47664,1674,38.5776583035,3,36,0.2922549871
9,25,Don Mills,39066,47601,1037,37.6721311475,1,36,1.0464480874
3,35,Jane,45699,47634,1267,36.0686661405,1,36,1.0019073928
32,58,Malton,18177,47679,576,31.5572916667,3,36,0.8765914352
8,506,Carlton,39601,47666,1303,30.392171911,3,36,0.2302437266
124,503,Kingston Rd. ,2214,47663,74,29.9189189189,3,36,0.8310810811
4,36,Finch West,43952,47638,1614,27.2317224287,1,36,0.7564367341
21,41,Keele,24597,47650,905,27.1790055249,1,36,0.7549723757
11,54,Lawrence East,36277,47676,1390,26.0985611511,3,36,0.724960032
97,502,Downtowner,3812,47662,153,24.9150326797,3,36,0.6920842411
20,96,Wilson,24700,47720,1030,23.9805825243,3,36,0.6661272923
112,117,Alness,2771,47545,116,23.8879310345,1,36,0.6635536398
5,510,Spadina,43804,47670,1921,22.8027069235,3,36,0.1727477797
16,95,York Mills,27485,47719,1223,22.4734260016,3,36,0.6242618334
7,29,Dufferin,39721,47604,1794,22.141025641,1,36,0.61502849
12,505,Dundas,32410,47665,1472,22.0176630435,3,36,0.1668004776
18,102,Markham Rd.,25137,48382,1143,21.9921259843,3,36,0.6108923885
22,165,Weston Rd. North,24314,47575,1109,21.9242560866,1,36,0.6090071135
43,17,Birchmount,12407,47579,573,21.6527050611,1,36,0.6014640295
33,68,Warden,17887,47690,829,21.5765983112,3,36,0.5993499531
2,32,Eglinton West,48684,47618,2268,21.4656084656,1,36,0.5962669018
23,7,Bathurst,24262,47692,1138,21.3198594025,3,36,0.5922183167
44,57,Midland,11614,47679,576,20.1631944444,3,36,0.5600887346
19,24,Victoria Park,24731,47600,1229,20.1228641172,1,36,0.5589684477
15,53,Steeles East,28278,47675,1511,18.7147584381,3,36,0.5198544011
13,60,Steeles West,29819,47682,1672,17.8343301435,3,36,0.4953980595
136,10,Van Horne,1212,47527,69,17.5652173913,1,36,0.4879227053
31,45,Kipling,18682,47654,1117,16.7251566697,1,36,0.4645876853
24,39,Finch East,23745,47645,1454,16.3308115543,1,36,0.4536336543
27,116,Morningside,22285,47544,1371,16.2545587163,1,36,0.4515155199
35,37,Islington,17087,47641,1052,16.2423954373,1,36,0.451177651
30,199,Finch Rocket,19055,47592,1196,15.9322742475,1,36,0.4425631735
26,63,Ossington,22694,47685,1471,15.4276002719,3,36,0.428544452
46,16,McCowan,11279,47571,735,15.3455782313,1,36,0.426266062
14,34,Eglinton East,29501,47631,1942,15.1910401648,1,36,0.4219733379
17,85,Sheppard East,27146,47709,1797,15.1062882582,3,36,0.4196191183
29,84,Sheppard West,19143,47708,1271,15.0613690008,3,36,0.4183713611
28,196,York University Rocket,21892,47590,1464,14.9535519126,1,36,0.415376442
151,143,Downtown/Beach Express,415,47567,28,14.8214285714,1,36,0.4117063492
54,21,Brimley,9542,47596,644,14.8167701863,1,36,0.4115769496
53,12,Kingston Rd.,9571,47548,653,14.6569678407,1,36,0.4071379956
41,89,Weston,15148,47713,1052,14.3992395437,3,36,0.3999788762
37,100,Flemingdon Park,15807,47528,1108,14.2662454874,1,36,0.3962845969
81,91,Woodbine,5589,47716,394,14.1852791878,3,36,0.394035533
39,47,Lansdowne,15354,47656,1090,14.0862385321,1,36,0.3912844037
65,112,West Mall,7922,47541,568,13.9471830986,1,36,0.3874217527
79,20,Cliffside,6112,47595,460,13.2869565217,1,36,0.3690821256
59,42,Cummer,8610,47651,656,13.125,1,36,0.3645833333
40,129,McCowan North,15222,47557,1163,13.0885640585,1,36,0.3635712238
69,46,Martin Grove,6927,47655,534,12.9719101124,1,36,0.3603308365
103,160,Bathurst North,3504,47572,271,12.9298892989,1,36,0.3591635916
147,144,Downtown/Don Valley Expr.,607,47568,48,12.6458333333,1,36,0.3512731481
36,86,Scarborough,16381,47710,1354,12.0982274742,3,36,0.3360618743
56,11,Bayview,9317,47538,773,12.0530401035,1,36,0.3348066695
42,191,Hwy. 27 Rocket,12838,47586,1068,12.0205992509,1,36,0.3339055347
49,190,Scarborough Rocket,10061,47585,837,12.0203106332,1,36,0.3338975176
159,142,Downtown/Avenue Rd. Expr.,225,47566,19,11.8421052632,1,36,0.3289473684
51,134,Progress,9735,48646,826,11.7857142857,3,36,0.3273809524
52,73,Royal York,9598,47696,818,11.7334963325,3,36,0.3259304537
6,501,Queen,43464,47661,3782,11.4923320994,3,36,0.087063122
50,133,Neilson,9950,47561,882,11.2811791383,1,36,0.3133660872
87,113,Danforth Rd.,4795,47542,431,11.1252900232,1,36,0.309035834
61,79,Scarlett Rd.,8362,47702,752,11.1196808511,3,36,0.3088800236
47,38,Highland Creek,10262,47642,941,10.9054197662,1,36,0.3029283268
92,51,Leslie,4117,47669,378,10.8915343915,3,36,0.302542622
64,6,Bay,7944,47681,744,10.6774193548,3,36,0.2965949821
67,75,Sherbourne,7468,47698,700,10.6685714286,3,36,0.2963492064
88,105,Dufferin North,4781,47533,452,10.5774336283,1,36,0.2938176008
155,145,Downtown/Humber Bay Expr.,263,47569,25,10.52,1,36,0.2922222222
